ID;Theme;Question_Agent;Mots_Cles_Attendus
1;Transaction;"L'acquéreur décède pendant le délai de rétractation SRU de 10 jours. Le compromis est-il caduc ou la succession est-elle engagée ?";caducité, succession, rétractation
2;Transaction;"Une SCI familiale achète un appartement pour y loger l'un de ses associés. Bénéficie-t-elle du délai de rétractation SRU de 10 jours ?";SCI, objet social, professionnel, SRU
3;Transaction;"L'acquéreur obtient un refus de prêt, mais il avait demandé à la banque un montant supérieur à celui indiqué dans la condition suspensive du compromis. Peut-il annuler la vente ?";faute, condition suspensive, montant maximum, refus
4;Transaction;"Mon vendeur a signé un mandat exclusif, mais il vient de vendre en direct à un cousin. A-t-il le droit et puis-je réclamer ma commission ?";clause pénale, dommages-intérêts, exclusivité, faute
5;Transaction;"Nous devons signer un compromis pour une maison classée F au DPE, mais l'audit énergétique n'a pas encore été réalisé. Est-ce légal de signer ?";audit énergétique, nullité, SRU, obligation
6;Transaction;"La mairie exerce son droit de préemption urbain (DIA) mais à un prix inférieur à celui du compromis. Est-ce que l'agence immobilière perçoit quand même ses honoraires ?";DIA, préemption, honoraires, juge de l'expropriation
7;Transaction;"Un marchand de biens vend une maison avec un vice caché grave. Peut-il invoquer la clause de non-garantie des vices cachés présente dans l'acte notarié ?";marchand de biens, professionnel, vice caché, exclusion
8;Transaction;"Dans le cadre d'une vente en viager occupé, qui doit payer le remplacement complet de la chaudière défectueuse ? Le crédirentier ou le débirentier ?";viager occupé, grosses réparations, débirentier, article 606
9;Transaction;"Le vendeur décède entre la signature du compromis et la réitération par acte authentique. Ses héritiers refusent de vendre, sont-ils liés par le compromis ?";héritiers, transfert de propriété, exécution forcée, succession
10;Transaction;"Nous avons signé un mandat charge vendeur. Pour faire baisser les frais de notaire de l'acquéreur, pouvons-nous faire un avenant pour passer en charge acquéreur juste avant le compromis ?";avenant, mandat, charge acquéreur, frais de notaire
11;Transaction;"Le vendeur a volontairement caché une servitude non aedificandi. L'acquéreur s'en rend compte grâce au notaire avant l'acte authentique. Peut-il faire annuler la vente ?";servitude, dol, annulation, information
12;Transaction;"Quelle est la conséquence fiscale si une promesse unilatérale de vente sous seing privé n'est pas enregistrée aux impôts dans les 10 jours suivant son acceptation ?";enregistrement, promesse unilatérale, nullité, 10 jours
13;Transaction;"Pour gagner du temps sur les courriers LRAR, puis-je purger le délai SRU en remettant le compromis en main propre à l'acquéreur directement à l'agence ?";remise en main propre, récépissé, SRU, avocat
14;Transaction;"Le permis de construire de l'acquéreur est accordé, mais le délai de recours des tiers n'est pas purgé. La condition suspensive d'urbanisme est-elle considérée comme réalisée ?";purge, recours des tiers, permis de construire, affichage
15;Transaction;"Le vendeur a donné un congé pour vente valable, mais le locataire refuse de quitter les lieux à l'expiration du bail. Peut-on quand même signer l'acte authentique de vente ?";congé pour vente, expulsion, occupant sans droit, indemnité
16;Transaction;"Un acquéreur italien souhaite payer le séquestre de 10% du compromis par un virement direct depuis une banque offshore au Panama. Que doit faire l'agent immobilier ?";Tracfin, déclaration de soupçon, blanchiment, séquestre
17;Transaction;"Le diagnostic amiante du bien a été réalisé en 2012 et ne signale aucune anomalie. Doit-il être refait pour le compromis de vente actuel ?";amiante, validité, 2013, refonte
18;Transaction;"Un couple marié achète un bien. La lettre LRAR de purge SRU a été envoyée au couple, mais seul le mari a signé l'accusé de réception. L'épouse peut-elle se rétracter le 15ème jour ?";notification individuelle, époux, rétractation, accusé de réception
19;Transaction;"L'acquéreur a obtenu son prêt mais refuse sans motif de venir signer l'acte authentique chez le notaire. Comment activer la clause pénale prévue au compromis ?";mise en demeure, clause pénale, sommation, tribunal
20;Transaction;"Un acquéreur a visité une maison avec mon agence (j'ai un bon de visite), mais il a finalement signé le compromis avec une autre agence moins chère. Puis-je exiger ma commission ?";bon de visite, dommages-intérêts, faute, mandat
